
name,address,lat,lng
ANIDA Food Bank,"4401 Steeles Ave W, Toronto, ON M3N 2S4",43.772436,-79.533033
Lighthouse (The),"1008 Bathurst St, Toronto, ON M5R 3G7",43.670704,-79.413671
North York Harvest Food Bank,"116 Industry St, Toronto, ON M6M 4L8",43.693991,-79.492714
North York Harvest Food Bank,"Oriole Community Centre, 2975 Don Mills Rd W, Toronto, ON M2J 3B7",43.781803,-79.351281
Centre for Spanish-Speaking Peoples,"2141 Jane St, Rm 100, Toronto, ON M3M 1A2",43.720345,-79.508042
Mount Olive Food Bank,"Mount Olive Seventh-Day Adventist Church, 1030 Albion Rd, Bsmt, Toronto, ON M9V 1A7",43.736941,-79.563514
Toronto West Seventh-Day Adventist Church Food Bank,"1621 Albion Rd, Lower Level, Toronto, ON M9V 1B6",43.741414,-79.593264
Food Pantry at Morningside,"90 Mornelle Court, Bsmt, Toronto, ON M1E 4P9",43.787712,-79.196188
Malvern Food Bank,"Wigwamen Waabnong, 20 Sewells Rd, Toronto, ON M1B 3G5",43.807646,-79.217226
Staff of Life Food Bank,"65 Grand Marshall Dr, Toronto, ON M1B 5N6",43.80286,-79.194133
Rosalie Hall,"3020 Lawrence Ave E, Toronto, ON M1P 2T7",43.755353,-79.248859
Grace Place Church Food Bank,"Grace Place Church, 1428 Kennedy Rd, Toronto, ON M1P 2L7",43.764331,-79.281187
Scott Mission,"502 Spadina Ave, Toronto, ON M5S 2H1",43.65863,-79.400741
SPRINT Senior Care,"140 Merton St, 2nd Fl, Toronto, ON M4S 1A1",43.69746,-79.391825
Soso World Ministries,"Toronto, ON",43.653226,-79.383184
"Stop Community Food Centre, The","1884 Davenport Rd, Rear Entrance, Toronto, ON M6N 4Y2",43.670859,-79.45382
St Ann Parish Food Bank,"120 First Ave, Toronto, ON M4M 1X1",43.665944,-79.348096
5N2Kitchens,"2050 Ellesmere Rd, Toronto, ON M1H 2Y9",43.777794,-79.234806
"Grant AME, Soup Kitchen","Fellowship Hall, 2029 Gerrard St E, Toronto, ON M4E 2B3",43.68169,-79.308437
Toronto People With AIDS Foundation,"200 Gerrard St E, 2nd Fl, Toronto, ON M5A 2E6",43.661432,-79.371766
"Salvation Army, Community and Family Services","The Salvation Army York Community Church, 1100 Weston Rd, Toronto, ON M6N 3S4",43.685868,-79.487745
Neighbourhood Link Support Services,"3036 Danforth Ave, Toronto, ON M4C 1N2",43.691064,-79.289873
Sharing Place,"Grace Church of the Nazarene, 624 Annette St, Toronto, ON M6S 2C4",43.659855,-79.482159
Friends of Jesus Christ,"4205 Lawrence Ave E, Toronto, ON M1E 4S6",43.767944,-79.185317
"Toronto Alliance Church, Food and clothing banks","602 Queen St W, 2nd Fl, Toronto, ON M6J 1E3",43.647299,-79.404705
Library Pop Up Food Bank,"1515 Albion Rd, Toronto, ON M9V 1B2",43.73982,-79.58396
Scarborough Food Security Initiative,"Toronto, ON",43.753498,-79.263708
Our Saviour Lutheran Church Food Bank,"2705 Islington Ave, Toronto, ON M9V 2X7",43.741417,-79.567536
"Salvation Army, Community and Family Services","3080 Birchmount Rd, Toronto, ON M1W 3K3",43.803475,-79.309321
Toronto Council Fire Native Cultural Centre,"439 Dundas St E, Toronto, ON M5A 2B1",43.659154,-79.36618
Yonge Street Mission,"270 Gerrard St E, Toronto, ON M5A 2G4",43.662317,-79.368291
"Salvation Army, Community and Family Services","77 River St, Toronto, ON M5A 3P1",43.65965,-79.357204
"Salvation Army, Community and Family Services","25 Centre Ave, Toronto, ON M2M 2L4",43.791748,-79.415968
"Salvation Army, Community and Family Services","789 Dovercourt Rd, Toronto, ON M6H 2X4",43.662505,-79.429379
"Salvation Army, Community and Family Services","2152 Kipling Ave, Toronto, ON M9W 4K9",43.720012,-79.571494
Salvation Army,"Yorkwoods Community Church, 20 Yorkwoods Gate SE, Toronto, ON M3N 1J8",43.751508,-79.514169
"Salvation Army, Community and Family Services","2085 Ellesmere Rd, Toronto, ON M1H 2W6",43.775729,-79.232912
"Salvation Army, Community and Family Services","5 Thirtieth St, Toronto, ON M8W 3B7",43.595902,-79.529606
St John the Compassionate Mission,"193 Markham Rd, Toronto, ON M1J 3C3",43.743651,-79.21879
"Salvation Army, Community and Family Services","1 Lord Seaton Rd, Toronto, ON M2P 2C1",43.752429,-79.407218
Agincourt Community Services Association,"1911 Kennedy Rd, Unit 105, Toronto, ON M1P 2L9",43.767431,-79.280694
North York Harvest Food Bank,"Centennial Library, 578 Finch Ave W, Toronto, ON M2R 1N7",43.773027,-79.4496
Avenue Road Food Bank,"Church of the Messiah, 240 Avenue Rd, Toronto, ON M5R 2J4",43.676942,-79.397925
Emmanuel Life Management Center,"2743 Victoria Park Ave, Recreation Room, Toronto, ON M1T 1A8",43.779183,-79.323363
Elspeth Heyworth Centre for Women,"2350 Finch Ave W, Unit D, Toronto, ON M9M 2C7",43.751998,-79.543691
St Michael and All Angels Church Beeton Cupboard Food Bank,"St Michael and All Angels Church, 611 St Clair Ave W, Toronto, ON M6C 1A3",43.681973,-79.422937
Bethany Baptist Church Food Bank,"1041 Pape Ave, Toronto, ON M4K 3W1",43.689245,-79.348448
Daily Bread Food Bank,"Daily Bread Food Bank, 191 New Toronto St, Toronto, ON M8V 2E7",43.60647,-79.504047
North York Harvest Food Bank,"81 Varna Dr, Toronto, ON M6A 2L8",43.722995,-79.443202
Toronto Aboriginal Support Services Council,"16 Spadina Rd, Toronto, ON M5R 2S7",43.668191,-79.404947
Library Pop Up Food Bank,"1906 Sheppard Ave W, Toronto, ON M3L 1Y7",43.73997,-79.510096
Hand Up Toronto For Kids,"Toronto, ON",43.653226,-79.383184
Toronto Cares,"Toronto, ON",43.653226,-79.383184
Neighbourhood Food Hub,"1470 Gerrard St E, Toronto, ON M4L 2A3",43.672648,-79.3209
Emmanuel Life Management Center,"4352 Kingston Rd, Toronto, ON M1E 2M8",43.765962,-79.191665
East Toronto Food Coalition,"Royal Canadian Legion, 9 Dawes Rd, Toronto, ON M4C 5A8",43.687926,-79.296698
"Salvation Army, Community and Family Services","42 Eglinton Ave W, Toronto, ON M4R 1A1",43.706518,-79.400104
"St Bartholomew's Anglican Church, Regent Park Community Services","509 Dundas St E, Toronto, ON M5A 3V3",43.659656,-79.364024
Afghan Women's Organization,"747 Don Mills Rd, Bsmt, Toronto, ON M3C 1T2",43.714184,-79.334311
Syme Woolner Neighbourhood and Family Centre,"190 Woolner Ave, Bsmt, Toronto, ON M6N 1Y3",43.672721,-79.490645
Oasis Dufferin Community Centre,"1219 Dufferin St, Toronto, ON M6H 4C2",43.666092,-79.437644
Friends of Jesus Christ,"Sunrise Towers, 1420 Victoria Park Ave, Toronto, ON M4A 2P7",43.721473,-79.302356
Warden Woods Community Centre,"40 Teesdale Place, Toronto, ON M1L 1L3",43.6972,-79.286647
Fort York Food Bank,"380 College St, Toronto, ON M5T 1S6",43.657304,-79.405135
"Salvation Army, Community and Family Services","107 Cedarvale Ave, Toronto, ON M4C 4J9",43.687206,-79.311038
Syme Woolner Neighbourhood and Family Centre,"2468 Eglinton Ave W, Toronto, ON M6M 5E2",43.691929,-79.468411
Parkdale Community Food Bank,"Parkdale Activity-Recreation Centre, 1499 Queen St W, Bsmt, Toronto, ON M6R 1A3",43.639574,-79.440527
East End United Regional Ministry,"Glen Rhodes United Church, 1470 Gerrard St E, Bsmt, Toronto, ON M4L 2A3",43.672648,-79.3209
Christ Church St James Anglican Church Food Pantry,"194 Park Lawn Rd, Bsmt, Toronto, ON M8Y 3J1",43.629903,-79.491172
Flemingdon Park Community Food Bank,"10 Gateway Blvd, Bsmt, Unit 154, Toronto, ON M3C 3A1",43.709821,-79.332613
Daily Bread Food Bank,"Saint Luke's United Church, 353 Sherbourne St, Toronto, ON M5A 2S3",43.662906,-79.372736
Haven on the Queensway,"1533 The Queensway, Toronto, ON M8Z 1T8",43.618343,-79.537117
Churches on the Hill Food Bank,"Timothy Eaton Memorial Church, 230 St Clair Ave W, Toronto, ON M4V 1R5",43.686201,-79.405792
Room to Grow Family and Food Support Services,"Westway United Church, 8 Templar Dr, Basement Level, Toronto, ON M9R 3C7",43.687933,-79.555032
Weston Area Emergency Support,"Central United Church, 1 King St, Toronto, ON M9N 1K8",43.701572,-79.520188
Meadowvale East Apostolic Church Food Bank,"1510 Warden Ave, Toronto, ON M1R 2S8",43.762185,-79.301529
Muslim Welfare Centre,"100 McLevin Ave, Unit 4, Toronto, ON M1B 5K1",43.801467,-79.236568
"Salvation Army, Community and Family Services","2021 Lawrence Ave E, Toronto, ON M1R 2Z2",43.74494,-79.295183
6 St Joseph House,"6 St Joseph St, Toronto, ON M4Y 1J7",43.666044,-79.385573
"Salvation Army, Community and Family Services","Northridge Community Church of The Salvation Army, 15338 Leslie St, Aurora, ON L4G 7C4",44.012875,-79.420565
Newmarket Food Pantry,"1251 Gorham St S, Unit 9, Newmarket, ON L3Y 8Y6",44.059433,-79.422476
City Street Outreach,"481 Rupert Ave, Unit 123, Stouffville, ON L4A 1V2",43.970267,-79.263706
Cedarview Community Church,"1000 Gorham St, Newmarket, ON L3Y 1L8",44.05522,-79.433291
Rose of Sharon Services for Young Mothers,"361 Eagle St, Newmarket, ON L3Y 1K5",44.049338,-79.461944
Vaughan Food Bank,"5732 7 Hwy, Units 3-4, Vaughan, ON L4L 3A2",43.777592,-79.613274
105 Gibson Centre,"105 Gibson Dr, Markham, ON L3R 3K7",43.822525,-79.328776
Aurora Food Pantry,"Irvine Generations, 350 Industrial Pkwy S, Rear entrance, Aurora, ON L4G 3V7",43.985534,-79.455138
Markham Food Bank,"190 Bullock Dr, Unit 11, Markham, ON L3P 7N3",43.875271,-79.281319
Humanity First Canada,"600 Bowes Rd, Unit 40, Vaughan, ON L4K 4A3",43.814676,-79.498773
Richmond Hill Community Food Bank,"55 Newkirk Rd, Richmond Hill, ON L4C 3G4",43.879297,-79.425949
Salvation Army Richmond Hill Community Church,"55 Newkirk Rd E, Richmond Hill, ON L4C 3G4",43.879297,-79.425949
Cornerstone Christian Community Church,"9680 Ninth Line, Markham, ON L6B 1A8",43.907204,-79.243089
Unionville Alliance Church,"4898 16th Ave, Markham, ON L3R 0K6",43.884333,-79.301464
Caritas School of Life,"241 Hanlan Rd, Units 1 and 2, Vaughan, ON L4L 3R7",43.769389,-79.559378
St. James the Apostle Anglican Church,"18804 Leslie St, Sharon, ON L0G 1V0",44.097573,-79.440303
Chasdei Kaduri Jewish Food Bank,"200 Viceroy Rd, Unit 14, Vaughan, ON L4K 3N8",43.789195,-79.474344
St Stephen's Anglican Church Food Pantry and Community Garden,"10103 Keele St, Vaughan, ON L6A 3Y8",43.857582,-79.512677
Ontario Aboriginal HIV/AIDS Strategy,"164 Eglinton Ave E, Toronto, ON M4P 1G4",43.708,-79.3934
Simcoe Hall Settlement House,"387 Simcoe St S, Oshawa, ON L1H 4J2",43.887472,-78.858739
St. Peter's Anglican Church,"1175 Cedar St, Oshawa, ON L1J 3R8",43.867296,-78.849494
AIDS Committee of Durham Region,"115 Simcoe St S, Oshawa, ON L1H 4G7",43.894649,-78.861841
Salvation Army,"75 Liberty St S, Bowmanville, ON L1C 2N8",43.906964,-78.678429
Nourish and Develop Foundation (The),"Nourish Community Hub, 16 York St, Cannington, ON L0E 1E0",44.350903,-79.037372
St. Andrew's Presbyterian Church,"St. Andrew's Presbyterian Church, 209 Cochrane St, Whitby, ON L1N 5H9",43.880377,-78.952011
Zion Church,"Zion Church, 409 Adelaide Ave E, Oshawa, ON L1G 2A2",43.907287,-78.852191
Salvation Army (The),"45 King St E, Oshawa, ON L1H 1B2",43.897722,-78.861713
Adventist Community Services,"1170 King St E, Oshawa, ON L1H 1H9",43.906319,-78.820257
Caledon Community Services,"55 Healey Rd, Unit 10, Bolton, ON L7E 5A2",43.863341,-79.718209
JFJ Hope Centre,"Kitimat Business Park, 6655 Kitimat Rd, Unit 5, Mississauga, ON L5N 6J4",43.602534,-79.734291
Eden Food for Change,"3185 Unity Drive, Unit 2, Mississauga, ON L5L 4L5",43.53707,-79.710627
"Salvation Army, Community and Family Services","3167 Cawthra Rd, Mississauga, ON L5A 2X4",43.598729,-79.60338
"Salvation Army, Community and Family Services","9395 Bramalea Rd, Brampton, ON L6S 4B7",43.729759,-79.72452
Mississauga Food Bank,"3121 Universal Dr, Mississauga, ON L4X 2E2",43.624247,-79.573426
"Compass, The","310 Lakeshore Rd W, Mississauga, ON L5H 1G8",43.544442,-79.593861
Ste Louise Outreach Centre of Peel Food Bank,"32 Haggert Ave N, Brampton, ON L6X 1Y3",43.68109,-79.769992
Regeneration Outreach Community,"156 Main St N, Brampton, ON L6V 1N9",43.688865,-79.763135
ICNA Relief Canada,"1-6120 Montevideo Road, Mississauga, ON L5N 3W5",43.582342,-79.743201
Eden Food For Change,"3051 Battleford Rd, Mississauga, ON L5N 5Z9",43.579124,-79.759702
Knights Table,"287 Glidden Rd, Unit 4, Brampton, ON L6W 1H9",43.682435,-79.72991
Seva Food Bank,"3413 Wolfedale Rd, Unit 10, Mississauga, ON L5C 1V8",43.571688,-79.646614
St Paul's United Church,"30 Main St S, Brampton, ON L6W 2C4",43.685382,-79.75861
St Andrew's Presbyterian Church Food Bank,"44 Church St E, Brampton, ON L6V 1G3",43.689842,-79.76141
Society of Saint Vincent de Paul,"187 Conestoga Road, Brampton, ON L6Z 3X8",43.722541,-79.790398
Salvation Army,"3020 Vanderbilt Road, Mississauga, ON L5N 4W8",43.584147,-79.766401
"Salvation Army, Community and Family Services","2460 The Collegeway, Mississauga, ON L5L 1V3",43.536,-79.685729
"Salvation Army, Community and Family Services","2460 The Collegeway, Mississauga, ON L5L 1V3",43.536,-79.685729
St Peter's Anglican Erindale,"3041 Mississauga Rd, Mississauga, ON L5L 0B7",43.543405,-79.659231
Muslim Welfare Centre,"3490 Mavis Rd, Mississauga, ON L5C 1T8",43.575155,-79.646746
St Mary's Food Bank,"5757 Kennedy Rd, Unit 12, Mississauga, ON L4Z 0C5",43.631349,-79.660877
St Mary's Food Bank,"1699 Dundas St E, Mississauga, ON L4X 1L5",43.616156,-79.577464
St Mary's Food Bank,"6277 Mississauga Rd, Mississauga, ON L5N 1A7",43.593886,-79.729428
Mississauga Seventh-day Adventist Church,"2250 Credit Valley Rd, Mississauga, ON L5M 4L9",43.55592,-79.702036
Seva Food Bank,"2832 Slough St, Mississauga, ON L4T 1G3",43.710113,-79.656423
Sai Dham Food Bank,"7330 Goreway Dr, Mississauga, ON L4T 2J6",43.719746,-79.640956
Good Measure Food Bank,"Christ for Life Ministries, 3607 Wolfedale Rd, Mississauga, ON L5C 1V8",43.575768,-79.652289
Women and Children Social Networking,"3034 Palstan Rd, Unit 305, Mississauga (City of), ON L4Y 2Z6",43.604733,-79.590792
"Brampton, City of","Brampton City Hall, 2 Wellington St W, Brampton, ON L6Y 4R2",43.684965,-79.75964
Operation Scugog,"Victory Christian Centre (school portable), 593 Alma St, Port Perry, ON",44.096431,-78.957034
Women's Health in Women's Hands Community Health Centre,"2 Carlton St, Suite 500, Toronto, ON M5B 1J3",43.6617,-79.3828
LAMP Community Health Centre,"185 Fifth St, Toronto, ON M8V 2Z5",43.603741,-79.50401
Uxbridge Loaves and Fishes Food Bank,"St. Andrew's-Chalmers Presbyterian Church, 40B Toronto St S, Uxbridge, ON L9P 1G9",44.107298,-79.123501
Salvation Army (The),"710 McQuay Blvd N, Whitby, ON L1P 1R3",43.884207,-78.968285
Whitchurch-Stouffville Food Bank,"86 Ringwood Dr N, Unit 25, Stouffville, ON L4A 1C3",43.962788,-79.273452
Sai Dham Food Bank,"7330 Goreway Dr, Mississauga, ON L4T 2J6",43.719746,-79.640956
Good Measure Food Bank,"Christ for Life Ministries, 3607 Wolfedale Rd, Mississauga, ON L5C 1V8",43.575768,-79.652289
Women and Children Social Networking,"3034 Palstan Rd, Unit 305, Mississauga (City of), ON L4Y 2Z6",43.604733,-79.590792
"Brampton, City of","Brampton City Hall, 2 Wellington St W, Brampton, ON L6Y 4R2",43.684965,-79.75964
Operation Scugog,"Victory Christian Centre (school portable), 593 Alma St, Port Perry, ON",44.096431,-78.957034
Women's Health in Women's Hands Community Health Centre,"2 Carlton St, Suite 500, Toronto, ON M5B 1J3",43.6617,-79.3828
LAMP Community Health Centre,"185 Fifth St, Toronto, ON M8V 2Z5",43.603741,-79.50401
Uxbridge Loaves and Fishes Food Bank,"St. Andrew's-Chalmers Presbyterian Church, 40B Toronto St S, Uxbridge, ON L9P 1G9",44.107298,-79.123501
Salvation Army (The),"710 McQuay Blvd N, Whitby, ON L1P 1R3",43.884207,-78.968285
Whitchurch-Stouffville Food Bank,"86 Ringwood Dr N, Unit 25, Stouffville, ON L4A 1C3",43.962788,-79.273452
